insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (1, 1, '165 677 4956', 'Not dispatched yet', 'Room 1517');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (2, 2, '474 615 0402', 'arrived', 'Apt 743');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (3, 3, '814 643 8150', 'Not dispatched yet', '13th Floor');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (4, 4, '347 799 9654', 'dispatched', 'Apt 1057');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (5, 5, '713 813 4977', 'arrived', 'PO Box 2872');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (6, 6, '273 658 8198', 'out for delivery', 'Room 1702');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (7, 7, '921 294 3995', 'Not dispatched yet', 'Room 585');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (8, 8, '425 397 2963', 'out for delivery', 'Room 1615');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (9, 9, '134 310 6286', 'out for delivery', 'PO Box 93599');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (10, 10, '889 976 1263', 'out for delivery', 'Room 1255');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (11, 11, '671 870 9837', 'dispatched', 'Suite 100');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (12, 12, '364 672 8237', 'out for delivery', 'Suite 88');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (13, 13, '871 586 0120', 'dispatched', '2nd Floor');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (14, 14, '253 145 5988', 'delivered', 'Suite 26');
insert into tracking_details (track_id, delivery_boy_id, contact_number, delivery_status, location) values (15, 15, '992 327 5545', 'out for delivery', 'Room 1386');
